,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
강남로,하행,1,명촌교남단,학성교남교차로,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,하행,2,학성교남교차로,번영교남교차로,00분,136,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,550,0,572,0,608,0,514,0,372,0,285,0,275,0,4662,0
강남로,하행,2,학성교남교차로,번영교남교차로,15분,165,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,553,0,599,0,624,0,372,0,303,0,313,0,252,0,4531,0
강남로,하행,2,학성교남교차로,번영교남교차로,30분,101,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,552,0,590,0,538,0,375,0,273,0,266,0,235,0,4280,0
강남로,하행,2,학성교남교차로,번영교남교차로,45분,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,462,0,618,0,535,0,361,0,293,0,295,0,-,-,4004,0
강남로,하행,2,학성교남교차로,번영교남교차로,소계,492,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,2117,0,2379,0,2305,0,1622,0,1241,0,1159,0,762,0,17477,0
강남로,하행,3,번영교남교차로,태화R,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,하행,3,번영교남교차로,태화R,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,하행,3,번영교남교차로,태화R,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,하행,3,번영교남교차로,태화R,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0
강남로,하행,3,번영교남교차로,태화R,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,하행,계,,,,492,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,2117,0,2379,0,2305,0,1622,0,1241,0,1159,0,762,0,17477,0
강남로,소계,,,,,1334,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,1044,0,4418,0,4645,0,4422,0,3246,0,2506,0,2383,0,1517,0,40131,0
강북로,상행,1,태화교사거리,번영교북교차로,00분,118,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,356,0,378,0,377,0,387,0,314,0,299,0,269,0,3848,0
강북로,상행,1,태화교사거리,번영교북교차로,15분,138,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,354,0,416,0,398,0,373,0,269,0,253,0,238,0,3789,0
강북로,상행,1,태화교사거리,번영교북교차로,30분,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,400,0,423,0,386,0,361,0,285,0,262,0,261,0,3818,0
강북로,상행,1,태화교사거리,번영교북교차로,45분,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,452,0,447,0,391,0,286,0,325,0,267,0,-,-,3608,0
강북로,상행,1,태화교사거리,번영교북교차로,소계,436,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,360,0,1562,0,1664,0,1552,0,1407,0,1193,0,1081,0,768,0,15063,0
강북로,상행,2,번영교북교차로,가구삼거리,00분,138,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,355,0,342,0,387,0,364,0,350,0,421,0,425,0,3682,0
강북로,상행,2,번영교북교차로,가구삼거리,15분,130,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,406,0,375,0,387,0,323,0,371,0,533,0,392,0,3817,0
강북로,상행,2,번영교북교차로,가구삼거리,30분,64,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,411,0,316,0,370,0,290,0,377,0,414,0,354,0,3496,0
강북로,상행,2,번영교북교차로,가구삼거리,45분,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,442,0,322,0,352,0,240,0,404,0,380,0,-,-,3100,0
강북로,상행,2,번영교북교차로,가구삼거리,소계,392,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,240,0,1614,0,1355,0,1496,0,1217,0,1502,0,1748,0,1171,0,14095,0
강북로,상행,3,가구삼거리,학성교북교차로,00분,137,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,378,0,366,0,318,0,292,0,260,0,3995,0
강북로,상행,3,가구삼거리,학성교북교차로,15분,126,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,469,0,408,0,251,0,336,0,236,0,4070,0
강북로,상행,3,가구삼거리,학성교북교차로,30분,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,452,0,322,0,298,0,270,0,193,0,3911,0
강북로,상행,3,가구삼거리,학성교북교차로,45분,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,127,0,425,0,275,0,287,0,279,0,-,-,3637,0
강북로,상행,3,가구삼거리,학성교북교차로,소계,527,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,528,0,523,0,1724,0,1371,0,1154,0,1177,0,689,0,15613,0
강북로,상행,4,학성교북교차로,내황삼거리,00분,179,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,408,0,495,0,594,0,549,0,356,0,361,0,349,0,6126,0
강북로,상행,4,학성교북교차로,내황삼거리,15분,162,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,189,0,457,0,530,0,597,0,504,0,345,0,390,0,330,0,6150,0
